1,3.1,0.000000000000186154774052926,0,
2,3.2,0.00000000000019137853287501,-5.22375882208398E-15,
3,3.3,0.000000000000196441534886553,-5.063002011543E-15,
4,3.4,0.00000000000020135337971475,-4.91184482819702E-15,
5,3.5,0.000000000000206122831991871,-4.76945227712099E-15,
6,3.6,0.000000000000210757915472224,-4.63508348035301E-15,
7,3.7,0.000000000000215265994251172,-4.50807877894799E-15,
8,3.8,0.000000000000219653843150822,-4.38784889965E-15,
9,3.9,0.000000000000223927708961396,-4.27386581057399E-15,
10,4,0.000000000000228093363927887,-4.16565496649103E-15,
11,4.1,0.000000000000232156152631259,-4.06278870337197E-15,
12,4.2,0.000000000000236121033219573,-3.96488058831398E-15,
13,4.3,0.000000000000239992613786958,-3.87158056738502E-15,
14,4.4,0.000000000000243775184569917,-3.782570782959E-15,
15,4.5,0.000000000000247472746525101,-3.69756195518401E-15,
16,4.6,0.000000000000251089036765864,-3.61629024076301E-15,
17,4.7,0.000000000000254627551263038,-3.53851449717397E-15,
18,4.8,0.000000000000258091565155588,-3.46401389254999E-15,
19,4.9,0.000000000000261484150966922,-3.39258581133403E-15,
20,5,0.000000000000264808194980764,-3.32404401384198E-15,
21,5.1,0.000000000000268066411995329,-3.25821701456499E-15,
